title,price,location,date,link
Thinkpad t480s i7/16/256/ips в Москве,21999,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/thinkpad_t480s_i716256ips_7396029327?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Новые ноутбуки i5 / 512 SSD / 14 IPS Опт Розница в Москве,22500,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/novye_noutbuki_i5_512_ssd_14_ips_opt_roznitsa_7320050572?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Игровой ноутбук ROG Strix GTX 1050 в Москве,25300,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/igrovoy_noutbuk_rog_strix_gtx_1050_7593720566?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Ноутбук для работы и учебы frbby v16 pro Оптом в Москве,20500,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuk_dlya_raboty_i_ucheby_frbby_v16_pro_optom_3456754482?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Ноутбук Dell Latitude 5430 /i5-1235U/16Gb/512 SSD в Москве,27400,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuk_dell_latitude_5430_i5-1235u16gb512_ssd_4094719050?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Много Thinkpad T490S i5-8365U/16GB/512SSD в Москве,22000,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/mnogo_thinkpad_t490s_i5-8365u16gb512ssd_7550346266?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Мощный ультрабук Mechrevo на Ryzen 9 / 512 SSD в Москве,24499,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/moschnyy_ultrabuk_mechrevo_na_ryzen_9_512_ssd_7447892452?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Сенсорные трансформеры HP EliteBook x360 i5 i7 в Москве,25500,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/sensornye_transformery_hp_elitebook_x360_i5_i7_3769320941?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Ноутбук HP i5 1135g7 16/256 IrisXe (как новый) в Москве,21499,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuk_hp_i5_1135g7_16256_irisxe_kak_novyy_7599168579?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Ноутбук бу asus в Москве,21505,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/noutbuk_bu_asus_7593878342?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Новый ужасный ноутбук в Москве,27000,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/novyy_uzhasnyy_noutbuk_7619838197?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Мощный игровой ноутбук MSI на i7 в Москве,21000,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/moschnyy_igrovoy_noutbuk_msi_na_i7_4759482906?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
Lenovo Thinkpad T490 i7-8665U/24GB/512SSD в Москве,23000,Не указано,Не указано,https://www.avito.ru/moskva/noutbuki/lenovo_thinkpad_t490_i7-8665u24gb512ssd_7390399916?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
